id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,PB #post,PB #pre,#voxels
387023620,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1713,343,559,233,776,1,686693145
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,3892,346,265,213,1469716322
416642425,EPG(PB08)_R4,EPG,EPG,Traced,3834,470,3482,244,318,224,1169220265
449438847,EPG(PB08)_L3,EPG,EPG,Traced,4595,609,4070,324,331,204,1356917252
478375456,EPG(PB08)_R3,EPG,EPG,Traced,4249,483,3960,270,272,212,1290806813
508793049,PEN_a(PB06a)_L7,PEN1,PEN_a(PEN1),Traced,1607,587,814,451,274,4,809613851
539462336,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1609,311,520,217,698,2,603871773
541118908,EPG(PB08)_R3,EPG,EPG,Traced,3796,523,3457,258,321,263,1092662993
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,3477,209,257,207,1262283600
569775058,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1582,336,595,239,621,1,777549043
570461892,PEN_a(PB06a)_R3,PEN1,PEN_a(PEN1),Traced,1915,565,958,465,625,2,980591420
572870540,EPG(PB08)_L1,,EPG,Traced,4957,615,4430,270,312,244,1495976797
632544268,EPG(PB08)_R2,EPG,EPG,Traced,3959,432,3671,224,265,207,1117114642
633546217,EPG(PB08)_R4,EPG,EPG,Traced,3200,413,2879,205,284,205,946141479
634962055,EPG(PB08)_L4,EPG,EPG,Traced,3515,530,2988,227,356,227,1313237477
663562172,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1544,319,577,222,630,2,668330517
664645558,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1380,410,679,313,262,2,485288832
664650297,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1230,327,436,222,410,2,428103635
665314820,EPG(PB08)_L4,EPG,EPG,Traced,3576,546,3148,265,275,212,1249529709
666312288,PFR_b(PB11b)_L1_C2,PFR_b,PFR_b,Traced,2657,345,1,,214,13,873271854
693755250,PEN_b(PB06b)_R7,PEN2,PEN_b(PEN2),Traced,1890,432,675,316,822,4,916318576
694920753,EPG(PB08)_R5,EPG,EPG,Traced,3441,455,3207,261,211,193,1192481040
695629525,EPG(PB08)_R2,EPG,EPG,Traced,4153,472,3837,250,301,222,1239801790
695956656,EPG(PB08)_R4,EPG,EPG,Traced,3738,464,3411,222,288,237,1139686992
696362840,EPG(PB08)_L5,EPG,EPG,Traced,3491,536,3043,236,271,222,1290354899
697001770,EPG(PB08)_L2,EPG,EPG,Traced,4160,494,3659,234,316,192,1220895242
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,19,5,39,18,5702733325
724280817,PEN_b(PB06b)_R2,PEN2,PEN_b(PEN2),Traced,1882,456,694,323,757,3,838679464
725942718,EL(EQ5)_R,EBGAs,EL,Traced,5071,927,5061,915,,1,1343378417
725951521,EPG(PB08)_R5,EPG,EPG,Traced,3479,415,3189,218,258,196,1113260436
726352774,PFGs(PB10)_L4_C4,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2343,553,1,1,118,3,1097656982
757055317,PEN_a(PB06a)_L4,PEN1,PEN_a(PEN1),Traced,1538,415,597,315,569,2,719023584
758419409,EPG(PB08)_L3,EPG,EPG,Traced,4163,589,3801,317,215,195,1367317453
788794171,EPG(PB08)_L6,EPG,EPG,Traced,3207,445,2857,195,203,183,871873631
789126240,EPG(PB08)_L5,,EPG,Traced,3024,479,2647,225,212,184,1177122514
819828986,EPG(PB08)_L5,EPG,EPG,Traced,3264,513,2847,218,253,202,1242575632
849421763,PEN_b(PB06b)_R5,PEN2,PEN_b(PEN2),Traced,2453,482,806,334,1067,1,989164827
879183317,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1223,330,425,214,385,1,600285827
881898734,PEG(PB07)_L6,PEG,PEG,Traced,1094,236,257,112,625,9,720534350
910438331,EPG(PB08)_R6,EPG,EPG,Traced,3749,438,3481,273,239,164,1189689723
910447075,PEN_a(PB06a)_R5,PEN1,PEN_a(PEN1),Traced,1847,575,846,471,535,1,1015212407
912545106,EPG(PB08)_L2,EPG,EPG,Traced,4273,564,3798,283,321,217,1279652378
912601268,EPG(PB08)_L6,EPG,EPG,Traced,3433,459,3047,208,231,186,961831095
912925080,PFL3(PB12c)_L3_C5,PB1-7FB1245LAL,PFL3,Traced,2624,442,3,,633,1,1310859231
941132434,EPG(PB08)_R6,EPG,EPG,Traced,3384,384,3158,222,204,161,1033944779
942173776,PEG(PB07)_R4,PEG,PEG,Traced,1155,148,278,146,864,1,661259565
942491983,EPG(PB08)_R6,EPG,EPG,Traced,3582,477,3256,262,293,213,1236585592
942587380,PEG(PB07)_L4,PEG,PEG,Traced,1528,253,296,136,1051,2,737594409
972892437,PEN_a(PB06a)_R2,PEN1,PEN_a(PEN1),Traced,1676,513,768,403,438,1,848941665
973566036,PEN_b(PB06b)_R3,PEN2,PEN_b(PEN2),Traced,2101,410,742,310,1037,2,832431327
974239375,PEG(PB07)_R3,PEG,PEG,Traced,1441,144,295,140,1133,4,654632835
974300015,PEG(PB07)_L3,PEG,PEG,Traced,1396,268,266,146,922,2,785035775
976997968,PFR_a(PB11a)_R5_C5,PFR_a,PFR_a,Traced,1223,357,25,,79,1,438963855
1002507131,PEN_a(PB06a)_R7,PEN1,PEN_a(PEN1),Traced,1917,612,787,462,565,1,1065119131
1002507159,EPG(PB08)_R7,EPG,EPG,Traced,4220,545,3938,313,231,218,1316105284
1002852791,EPG(PB08)_R7,EPG,EPG,Traced,4112,504,3834,286,239,211,1209456657
1004014587,PEG(PB07)_L7,PEG,PEG,Traced,935,211,220,111,490,3,413950685
1004017998,EPG(PB08)_L7,EPG,EPG,Traced,3073,414,2733,187,188,144,965411401
1005261469,PFR_b(PB11b)_R3_C6,PFR_b,PFR_b,Traced,2356,222,6,,184,18,761416202
1008041969,PFR_a(PB11a)_L5_C5,PFR_a,PFR_a,Traced,1345,416,1,,75,1,513227795
1034219901,EPG(PB08)_R7,EPG,EPG,Traced,4020,435,3813,256,176,178,1185019251
1035045015,EPG(PB08)_L7,EPG,EPG,Traced,4196,549,3804,252,226,208,1027118663
1036330791,PFR_a(PB11a)_R2_C8,PFR_a,PFR_a,Traced,1492,390,40,,48,1,440621040
1062526223,PEN_b(PB06b)_R8,PEN2,PEN_b(PEN2),Traced,2195,470,773,335,839,2,994963622
1064577636,PFR_b(PB11b)_R7_C2,PFR_b,PFR_b,Traced,1928,222,10,,173,15,745793303
1065409934,PEG(PB07)_L8,PEG,PEG,Traced,923,220,245,125,530,1,434380151
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,2937,188,197,153,836597415
1125964814,EPG(PB08)_R8,EPG,EPG,Traced,3046,352,2842,184,185,164,991536233
1125969082,PEG(PB07)_R9,PEG,PEG,Traced,953,106,184,96,766,9,612853083
1126647624,EPG(PB08)_R8,EPG,EPG,Traced,2943,376,2696,204,217,170,1089813706
1127471692,PEN_a(PB06a)_L8,PEN1,PEN_a(PEN1),Traced,1819,576,853,430,327,1,866409069
1127476096,EPG(PB08)_L8,EPG,EPG,Traced,3300,455,3001,211,167,171,846890948
1128088594,PEG(PB07)_L1,PEG,PEG,Traced,1029,191,183,100,677,1,586585085
1137590785,SIFa(PDM34),,SIFa,Traced,658,344,35,21,20,11,4308407118
1159123802,PFR_b(PB11b)_L1_C9_irreg,,PFR_b,Traced,1666,219,14,,210,20,639370086
1167995070,EPG(PB08)_L8,EPG,EPG,Traced,3874,476,3475,234,208,174,960598574
1168314368,PFR_a(PB11a)_R8_C2,PFR_a,PFR_a,Traced,1351,412,3,,47,2,501206113
1168659995,EPGt(PB09)_R9,EPGt,EPGt,Traced,611,154,182,10,423,144,585738930
1168660239,EPGt(PB09)_L9,EPGt,EPGt,Traced,583,157,120,9,383,135,369725815
1168664447,EPGt(PB09)_L9,EPGt,EPGt,Traced,610,167,122,11,387,137,390899085
1168664495,EPG(PB08)_L8,EPG,EPG,Traced,3858,468,3529,240,173,144,1000269781
1199677638,PEG(PB07)_L9,PEG,PEG,Traced,824,197,147,91,525,7,435112897
1218732640,PEN_a(PB06a)_R9,PEN1,PEN_a(PEN1),Traced,1946,563,805,385,477,1,1008550189
1219069439,EPGt(PB09)_R9,EPGt,EPGt,Traced,790,170,163,4,525,154,571937645
1220584946,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1349,320,482,202,355,1,524380567
1318109929,PEN_b(PB06b)_L7,PEN2,PEN_b(PEN2),Traced,1781,438,792,301,438,2,839952860
1353544607,PEN_b(PB06b)_L8,PEN2,PEN_b(PEN2),Traced,1807,490,691,318,458,1,619565622
1380495496,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1285,367,553,275,279,1,467834236
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,57,34,1,1,6190229391
1447576662,EPG(PB08)_L1,,EPG,Traced,5107,676,4615,321,299,251,1568187447
1508334312,PEN_a(PB06a)_L3,PEN1,PEN_a(PEN1),Traced,1937,604,831,481,533,1,945241267
1600083889,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1513,328,535,215,446,1,535483990
1601771527,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1585,330,596,235,600,2,695171696
1631450739,PEN_b(PB06b)_L5,PEN2,PEN_b(PEN2),Traced,1969,454,659,325,852,1,883989562
5813012006,EPG(PB08)_L7,EPG,EPG,Traced,3883,539,3503,255,223,197,1075949177
5813014873,EPG(PB08)_R1,EPG,EPG,Traced,4099,507,3775,268,288,236,1255365813
5813014882,PEG(PB07)_R5,PEG,PEG,Traced,1147,143,273,140,863,1,613166421
5813022281,EPG(PB08)_L4,EPG,EPG,Traced,3272,543,2836,253,271,211,1213503168
5813027103,EPG(PB08)_R5,EPG,EPG,Traced,3574,491,3286,259,273,227,1188874706
5813040233,EPG(PB08)_R8,EPG,EPG,Traced,3384,433,3118,246,257,185,1239795168
5813056953,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1497,424,657,315,398,1,766389254
5813059834,PEG(PB07)_R8,PEG,PEG,Traced,1060,99,169,92,874,4,598312740
5813061251,EPG(PB08)_R8,EPG,EPG,Traced,2853,373,2649,206,177,164,1102701348
5813070465,PEN_b(PB06b)_L3,PEN2,PEN_b(PEN2),Traced,2254,425,745,298,1007,1,904493834
5813077544,EPG(PB08)_R1,EPG,EPG,Traced,5176,601,4842,360,289,240,1546927969
5813080838,EPG(PB08)_R3,EPG,EPG,Traced,4198,552,3831,267,350,284,1248939309
