id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,12,1,1973521252
298258513,SMP108_R,,SMP108,Traced,23289,2753,5,4,5584315251
299289811,SMP146_R,,SMP146,Traced,5080,1011,22,15,2562854346
328601956,CRE105_R,,CRE105,Traced,1995,492,36,14,1150202676
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,644,151,6917059458
360958913,mAL1_L,,mAL1,Traced,237,148,5,1,458789583
361376643,CRE025_R,,CRE025,Traced,3432,545,2,1,1813320802
393201704,,,,Traced,132,327,6,1,378874238
393404592,SMP127_R,,SMP127,Traced,2570,648,13,4,1245001681
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,5,1,5117109108
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,19,35,5265462913
424889074,,,,Traced,482,75,5,1,131697573
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,51,2,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,16559,4033,6483095365
455159380,PAM01_b(y5)_R,,PAM01_b,Traced,1311,162,259,39,330101101
456174330,PAM01_b(y5)_R,,PAM01_b,Traced,797,133,110,32,279536002
456523994,SMP165_R,,SMP165,Traced,1962,465,25,5,1120887108
457520516,(MBDLaxon2),,,Traced,1102,1060,6,6,1208350209
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,54,1,1994134905
484130600,SMP145_R,,SMP145,Traced,3609,2264,10,5,2489431605
487899562,PAM01_a(y5)_R,,PAM01_a,Traced,1668,150,392,50,380174418
487925063,MBON04(B'2mp_bilateral)_R,,MBON04,Traced,16859,1776,2269,4,3269688224
488559952,PAM01_a(y5)_R,,PAM01_a,Traced,1180,168,223,42,322182562
488581156,(MBDLaxon2),,,Traced,989,933,4,1,1178319505
489051866,,,,Traced,71,40,9,7,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,64,104,1964048244
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,15,5,3738265959
518670779,MBON33(y2y3)(ADM05)_L,,MBON33,Traced,2990,390,782,26,1172280543
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,28,1,3103732460
519279166,CRE027_L,,CRE027,Traced,2134,327,41,10,973318320
546287086,SMP123_R,,SMP123,Traced,1253,312,23,3,983340792
547310321,SMP123_R,,SMP123,Traced,916,268,8,1,811978172
548712377,SMP384_R,,SMP384,Traced,6812,2733,4,1,2914119235
549955973,PAM01_a(y5)_R,,PAM01_a,Traced,1461,152,394,47,341998412
550081497,MBON24(B2y5)(PDL05)_L,,MBON24,Traced,5962,67,437,3,758606595
550408954,PAM01_a(y5)_L,,PAM01_a,Traced,1203,163,679,111,305318308
550431171,,,,Traced,374,415,1,3,466149886
550750102,SMP053(ADM01)_L,,SMP053,Traced,2052,485,19,1,1124405111
551043841,CRE033_L,,CRE033,Traced,754,252,2,1,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,12,2,1064093786
577040776,,,,Traced,811,338,30,3,406252950
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,1,3,1640712084
579425252,Leaves Body,,,Traced,648,720,71,21,820954559
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,274,58,417405171
580732172,SMP471(PDM13)_L,,SMP471,Traced,4250,865,5,2,2075693705
581060581,CRE027_R,,CRE027,Traced,1821,325,194,24,1320584874
581121328,,,,Traced,890,139,6,1,851399266
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,113,27,343929818
582101022,SMP116_R,,SMP116,Traced,3184,702,3,4,1840967376
582355376,PAM08_e(y4)_R,,PAM08_e,Traced,640,136,72,19,285136614
604289581,SMP376(PDM08)_L,C-Sm,SMP376,Traced,3551,871,73,1,1801835068
610312734,CRE023_R,,CRE023,Traced,3901,1023,18,3,2864705468
611089775,MBON35(y2)_L,,MBON35,Traced,14188,465,2141,13,1891978571
612095452,,,,Traced,329,641,24,9,603144270
612414168,CRE029_a_L,,CRE029_a,Traced,1164,295,4,4,791330474
612422902,MBON25(y1y2)_R,,MBON25,Traced,395,181,68,2,491944011
612440702,PAM01_b(y5)_L,,PAM01_b,Traced,695,152,455,118,243491946
612755343,CRE023_L,,CRE023,Traced,2297,801,34,1,2214780944
613040803,CRE049_R,,CRE049,Traced,2229,750,6,5,1511757943
613083375,CRE032_L,,CRE032,Traced,918,233,3,2,653637060
613126471,CRE044(ADM10)_L,,CRE044,Traced,842,139,38,1,457318739
613191512,CL129(PDL11)_L,,CL129,Traced,770,525,42,10,360983220
613398716,PAM01_b(y5)_R,,PAM01_b,Traced,757,143,73,23,287310191
613420343,SMP056_R,,SMP056,Traced,2563,469,33,2,1649344502
613835634,PAM01_b(y5)_L,,PAM01_b,Traced,393,131,285,105,212670007
613847777,PAM01_a(y5)_L,,PAM01_a,Traced,1284,133,800,95,321942494
643142863,PAM01_a(y5)_L,,PAM01_a,Traced,1591,156,914,104,328254208
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,137,15,299806071
643794320,CRE029_a_R,,CRE029_a,Traced,1062,344,10,16,777368664
643830129,CRE046(ADM10)_L,Sm-C,CRE046,Traced,791,190,23,1,473774363
643847447,MBON32(y2)(ADM08)_L,,MBON32,Traced,9197,1062,2371,14,3202870430
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,5,1,795100404
644148647,CRE031_R,,CRE031,Traced,756,196,91,6,583473753
644529212,,,,Traced,2557,586,4,1,822968506
644870768,PAM01_a(y5)_L,,PAM01_a,Traced,935,143,591,110,315394433
645224664,PAM01_a(y5)_L,,PAM01_a,Traced,1162,147,644,96,255879136
645228729,,,,Traced,1317,384,139,11,797714747
668285416,SMP151(ADM10)_L,,SMP151,Traced,320,550,1,2,642080855
673509195,MBON01(y5B'2a)_L,,MBON01,Traced,29244,2205,22344,28,6713237576
673518025,SMP164(AVM04)_L,,SMP164,Traced,241,562,2,8,602817371
674195939,(ADM10)_L,,,Traced,1211,350,160,3,626081409
674519060,PAM01_a(y5)_L,,PAM01_a,Traced,766,148,373,96,214397229
674807824,CRE029_a_L,,CRE029_a,Traced,1445,320,1,2,836699232
674882250,CRE011(ADM05)_L,,CRE011,Traced,16768,707,165,11,2764738281
675187509,CRE033_R,,CRE033,Traced,698,177,8,2,611705625
675187643,CRE030_b_R,,CRE030_b,Traced,784,235,46,4,739581338
675528661,CRE024_R,,CRE024,Traced,4337,984,179,1,2090195593
676263239,PAM01_a(y5)_L,,PAM01_a,Traced,1358,128,809,90,317801168
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,8,7,277333760
706287739,,,,Traced,45,35,1,1,32124162
706633128,,,,Traced,52,36,2,1,27955134
706862579,CRE059_R,,CRE059,Traced,1466,552,3,1,1186755402
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,33,2,1535739624
730013818,ATL007(ADM10)_L,CL-AtIb(c)1,ATL007,Traced,1013,340,27,3,877968363
732885054,,,,Traced,2241,1050,52,1,1571345277
735134301,PAM08_c(y4)_R,,PAM08_c,Traced,2043,270,412,78,383789277
735470654,AVLP563_R,,AVLP563,Traced,3287,876,3,1,2355820571
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,21,12,1598047565
737167616,PAM02(B'2a)_R,,PAM02,Traced,1376,231,36,4,360759597
760690116,CRE066_R,,CRE066,Traced,934,533,3,4,937265171
766255970,(MBDLaxon1),,,Traced,1484,1148,573,10,1016097670
766660682,,,,Traced,805,403,5,2,329942671
766959162,,,,Traced,760,53,10,1,117878921
767321428,CRE082(PDM13)_L,,CRE082,Traced,466,207,10,5,646239106
768677562,,,,Traced,2537,714,210,7,1232037610
768983660,(PVL05)_L,,,Traced,118,120,1,2,120135578
797277919,(MBDLaxon1),,,Traced,1124,1045,275,1,1013204087
797981213,CRE043_c(ADM10)_L,,CRE043_c,Traced,837,195,23,1,352118377
798356481,PAM08_b(y4)_L,,PAM08_b,Traced,1248,244,497,119,337662143
798585556,PAM06_b(B'2m)_L,,PAM06_b,Traced,959,114,13,2,214518180
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,4,1,135248805
826663057,,,,Traced,375,596,1,2,495908932
826957102,CRE028_R,,CRE028,Traced,746,214,6,2,748610617
829050526,CRE080(PDM13)_L,pMP6b candidates,CRE080,Traced,512,113,37,1,656343401
829059301,CRE080(PDM13)_L,pMP6b candidates,CRE080,Traced,582,199,26,3,697448888
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,388,131,440919426
829693574,SMP273(PDL21)_L,,SMP273,Traced,1289,901,51,1,1300546786
830034406,LAL154_R,,LAL154,Traced,2561,825,58,1,1562703817
830276571,PAM05(B'2p)_R,,PAM05,Traced,1135,314,9,3,425507826
831394580,(PVL05)_L,,,Traced,67,80,2,1,82375180
859735285,CRE105(PVL06)_L,,CRE105,Traced,1589,470,71,8,710680979
860395984,(PVL05)_L,,,Traced,129,112,8,1,157927139
862705904,PAM12(y3)_R,,PAM12,Traced,1178,193,197,74,402053568
862792304,(PDM13)_L,,,Traced,536,106,38,2,766883149
863711565,PAM12(y3)_R,,PAM12,Traced,598,73,305,72,271740734
864169621,(PVL05)_L,,,Traced,67,87,2,2,94584044
891771553,CRE100(PDM27)_L,CL-VeSp,CRE100,Traced,2897,96,172,1,1561570718
893149866,PAM12(y3)_L,,PAM12,Traced,966,216,366,128,258249835
893754136,(MBDLaxon2),,,Traced,2509,1179,21,1,3754329882
893805187,PAM08_e(y4)_L,,PAM08_e,Traced,529,146,295,96,333510589
894168625,FB4P_b_L,CRESMPFB4_4,FB4P_b,Traced,1693,686,14,1,732988105
895186781,(PVL05)_L,,,Traced,182,161,3,1,182832490
895535909,(PVL05)_L,,,Traced,58,69,4,1,89829282
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,288,1,2272675577
917919724,CRE066_R,,CRE066,Traced,605,431,6,2,706765280
922496175,,,,Traced,558,127,29,3,259088432
922810839,SMP152(ADM11)_L,,SMP152,Traced,507,669,57,13,604703882
923415956,SMP165(AVM07)_L,,SMP165,Traced,1476,437,4,1,833177546
924429714,PAM08_b(y4)_R,,PAM08_b,Traced,1917,289,332,75,417638669
925241334,LAL155_R,,LAL155,Traced,3211,604,7,4,1395981955
925799233,PAM01_b(y5)_R,,PAM01_b,Traced,826,142,118,30,306649148
952137064,(PVL05)_L,,,Traced,136,98,9,1,177230479
952166828,FB5K_L,CREFB5,FB5K,Traced,3583,610,5,2,1132282137
953210984,,,,Traced,225,165,4,1,160785493
953755666,LHAV9a1_c_R,,LHAV9a1_c,Traced,496,241,9,1,429926220
954528474,PAM08_c(y4)_L,,PAM08_c,Traced,1738,298,986,200,337379008
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,256,95,382633721
955939905,,,,Traced,214,182,1,2,110525588
956138930,PAM08_a(y4)_R,,PAM08_a,Traced,1129,197,122,36,350478437
956963070,,,,Traced,11,4,2,3,41230133
983759126,PAM12(y3)_R,,PAM12,Traced,963,155,362,93,332844630
984453829,,,,Traced,659,689,3,3,584836699
984536209,LAL100_R,,LAL100,Traced,3609,1173,13,3,2063807718
984540390,CRE059(AVM13)_L,,CRE059,Traced,622,538,18,2,540136093
984794932,CRE068_R,,CRE068,Traced,513,268,3,3,494990396
984799284,CRE060_R,,CRE060,Traced,844,393,67,34,738647628
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,45,8,977135458
985472994,LAL198(PVM14)_L,,LAL198,Traced,595,720,35,1,992826233
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,8437,41,2278694286
985818067,,,,Traced,176,317,34,31,271365706
986828383,PAM13(B'1ap)_R,,PAM13,Traced,1117,228,4,3,389938087
987997896,PAM13(B'1ap)_L,,PAM13,Traced,735,199,108,28,294789403
988852391,PAM08_a(y4)_R,,PAM08_a,Traced,1072,176,95,30,386116617
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,19,20,4703423471
1013066710,CRE071_R,,CRE071,Traced,1410,623,3,1,1233966102
1015622418,,,,Traced,809,407,761,369,235779801
1015825657,,,,Traced,168,299,5,3,271480057
1016166622,CRE067_R,,CRE067,Traced,1039,396,43,15,735317516
1016166928,,,,Traced,202,385,13,18,299158941
1016248907,(PDM13)_L,,,Traced,646,241,14,1,955221841
1016270635,,,,Traced,136,128,24,4,108829423
1016603034,(MBDLaxon1),,,Traced,108,61,71,25,102859439
1016611275,(PVL05)_L,,,Traced,934,741,150,45,614564619
