id,instance,notes,type,status,inputs (#post),outputs (#pre),PB #post,PB #pre,EB #post,EB #pre,#voxels
387023620,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1713,343,776,1,559,233,686693145
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,265,213,3892,346,1469716322
416642425,EPG(PB08)_R4,EPG,EPG,Traced,3834,470,318,224,3482,244,1169220265
449438847,EPG(PB08)_L3,EPG,EPG,Traced,4595,609,331,204,4070,324,1356917252
478375456,EPG(PB08)_R3,EPG,EPG,Traced,4249,483,272,212,3960,270,1290806813
508793049,PEN_a(PB06a)_L7,PEN1,PEN_a(PEN1),Traced,1607,587,274,4,814,451,809613851
509410587,PEN_a(PB06a)_R4,PEN1,PEN_a(PEN1),Traced,1556,428,438,,636,294,801363719
539462336,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1609,311,698,2,520,217,603871773
541118908,EPG(PB08)_R3,EPG,EPG,Traced,3796,523,321,263,3457,258,1092662993
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,257,207,3477,209,1262283600
569775058,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1582,336,621,1,595,239,777549043
570461892,PEN_a(PB06a)_R3,PEN1,PEN_a(PEN1),Traced,1915,565,625,2,958,465,980591420
572870540,EPG(PB08)_L1,,EPG,Traced,4957,615,312,244,4430,270,1495976797
632544268,EPG(PB08)_R2,EPG,EPG,Traced,3959,432,265,207,3671,224,1117114642
633546217,EPG(PB08)_R4,EPG,EPG,Traced,3200,413,284,205,2879,205,946141479
634608104,PEN_a(PB06a)_L2,PEN1,PEN_a(PEN1),Traced,2211,584,627,,817,433,1013921359
634962055,EPG(PB08)_L4,EPG,EPG,Traced,3515,530,356,227,2988,227,1313237477
663190769,PEN_a(PB06a)_R6,PEN1,PEN_a(PEN1),Traced,1716,436,563,,659,319,784365297
663562172,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1544,319,630,2,577,222,668330517
664645558,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1380,410,262,2,679,313,485288832
664650297,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1230,327,410,2,436,222,428103635
665314820,EPG(PB08)_L4,EPG,EPG,Traced,3576,546,275,212,3148,265,1249529709
693755250,PEN_b(PB06b)_R7,PEN2,PEN_b(PEN2),Traced,1890,432,822,4,675,316,916318576
694920753,EPG(PB08)_R5,EPG,EPG,Traced,3441,455,211,193,3207,261,1192481040
695629525,EPG(PB08)_R2,EPG,EPG,Traced,4153,472,301,222,3837,250,1239801790
695956656,EPG(PB08)_R4,EPG,EPG,Traced,3738,464,288,237,3411,222,1139686992
696362840,EPG(PB08)_L5,EPG,EPG,Traced,3491,536,271,222,3043,236,1290354899
697001770,EPG(PB08)_L2,EPG,EPG,Traced,4160,494,316,192,3659,234,1220895242
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,39,18,19,5,5702733325
724280817,PEN_b(PB06b)_R2,PEN2,PEN_b(PEN2),Traced,1882,456,757,3,694,323,838679464
725951521,EPG(PB08)_R5,EPG,EPG,Traced,3479,415,258,196,3189,218,1113260436
726352774,PFGs(PB10)_L4_C4,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2343,553,118,3,1,1,1097656982
757055317,PEN_a(PB06a)_L4,PEN1,PEN_a(PEN1),Traced,1538,415,569,2,597,315,719023584
758419409,EPG(PB08)_L3,EPG,EPG,Traced,4163,589,215,195,3801,317,1367317453
788794171,EPG(PB08)_L6,EPG,EPG,Traced,3207,445,203,183,2857,195,871873631
789126240,EPG(PB08)_L5,,EPG,Traced,3024,479,212,184,2647,225,1177122514
819828986,EPG(PB08)_L5,EPG,EPG,Traced,3264,513,253,202,2847,218,1242575632
847336755,PEN_a(PB06a)_R6,PEN1,PEN_a(PEN1),Traced,1567,412,504,,670,314,782298170
848761388,PEG(PB07)_R1,PEG,PEG,Traced,895,89,706,,180,87,521118259
849421763,PEN_b(PB06b)_R5,PEN2,PEN_b(PEN2),Traced,2453,482,1067,1,806,334,989164827
849482511,PEN_a(PB06a)_L4,PEN1,PEN_a(PEN1),Traced,1591,438,568,,650,353,737349791
879183317,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1223,330,385,1,425,214,600285827
880875861,PEG(PB07)_L5,PEG,PEG,Traced,1246,237,879,,211,134,708615708
881898734,PEG(PB07)_L6,PEG,PEG,Traced,1094,236,625,9,257,112,720534350
882144985,IB005_R,,IB005,Traced,2133,702,1,,,1,1521696579
910438331,EPG(PB08)_R6,EPG,EPG,Traced,3749,438,239,164,3481,273,1189689723
910447075,PEN_a(PB06a)_R5,PEN1,PEN_a(PEN1),Traced,1847,575,535,1,846,471,1015212407
912147912,PEG(PB07)_R6,PEG,PEG,Traced,1198,157,862,,326,154,618134609
912545106,EPG(PB08)_L2,EPG,EPG,Traced,4273,564,321,217,3798,283,1279652378
912601268,EPG(PB08)_L6,EPG,EPG,Traced,3433,459,231,186,3047,208,961831095
941123755,PEN_b(PB06b)_R6,PEN2,PEN_b(PEN2),Traced,1592,330,791,,548,253,658115021
941132434,EPG(PB08)_R6,EPG,EPG,Traced,3384,384,204,161,3158,222,1033944779
942173776,PEG(PB07)_R4,PEG,PEG,Traced,1155,148,864,1,278,146,661259565
942491983,EPG(PB08)_R6,EPG,EPG,Traced,3582,477,293,213,3256,262,1236585592
942587380,PEG(PB07)_L4,PEG,PEG,Traced,1528,253,1051,2,296,136,737594409
972555509,PEG(PB07)_R2,PEG,PEG,Traced,1017,137,686,,324,137,565541726
972892437,PEN_a(PB06a)_R2,PEN1,PEN_a(PEN1),Traced,1676,513,438,1,768,403,848941665
973566036,PEN_b(PB06b)_R3,PEN2,PEN_b(PEN2),Traced,2101,410,1037,2,742,310,832431327
974239375,PEG(PB07)_R3,PEG,PEG,Traced,1441,144,1133,4,295,140,654632835
974300015,PEG(PB07)_L3,PEG,PEG,Traced,1396,268,922,2,266,146,785035775
1002507131,PEN_a(PB06a)_R7,PEN1,PEN_a(PEN1),Traced,1917,612,565,1,787,462,1065119131
