id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,bL(L) #post,bL(L) #pre,#voxels
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,3,,543,157,766273281
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,1,,73,34,377339671
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,33,31,248,35,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,42,25,7262,15,4356555624
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,4,,592,167,846161332
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,14,20,239,48,1964048244
675468771,PAM13(B'1ap)_R,,PAM13,Traced,775,227,6,,,1,318884796
767494105,KCab-p_R,,KCab-p,Traced,633,218,6,2,57,26,365582357
1016805008,KCab-p_R,,KCab-p,Traced,703,242,2,,81,37,378892564
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,9,,84,2,2083130629
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,6,,812,203,720192159
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,9,10,4,1,3486100136
5813091744,KCab-p_R,,KCab-p,Traced,635,285,3,1,44,19,392247819
