id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,b'L(R) #post,b'L(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,145,48,15,5,323658271
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,232,63,15,10,549779297
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,543,157,11,1,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,271,76,8,4,475403925
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,142,48,26,7,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,478,145,14,5,746539922
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,73,34,44,8,377339671
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,259,53,12,1,250175925
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,248,35,35,37,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,7262,15,1109,3,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,5,,8,1,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,5333,1048,3,2,6483095365
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,153,38,13,1,226850098
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,274,76,4,2,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,592,167,12,9,846161332
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,2,,15,8,371345136
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,4,1,10,5,555872978
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,327,58,11,1,279368748
487925037,MBON03(B'2mp)_R,,MBON03,Traced,18706,1368,5,,1827,9,3979007410
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,3,2,15,3,521006485
513451621,PAM11(a1)_R,,PAM11,Traced,673,180,5,1,22,5,428816755
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,239,48,11,26,1964048244
551113395,PAM10(B1)_L,,PAM10,Traced,1695,510,673,214,18,8,503305654
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,747,147,14,4,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,1554,243,12,1,382607989
551790913,PAM04_a(B2)_L,,PAM04_a,Traced,2194,457,1454,296,7,3,403977461
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,3,2,21,8,399312668
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,837,170,13,3,324988292
582148591,PAM10(B1)_L,,PAM10,Traced,1381,418,310,89,10,9,434243909
583175492,PAM04_a(B2)_L,,PAM04_a,Traced,587,131,349,83,4,1,200058563
612371421,MBON01(y5B'2a)_R,,MBON01,Traced,32544,2208,2,,5319,7,6839504360
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,201,49,7,4,261596710
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,3,,291,55,299806071
643535876,PAM10(B1)_L,,PAM10,Traced,1490,423,594,167,8,7,463952694
644896959,PAM09(B1ped)_L,,PAM09,Traced,710,227,356,113,13,6,275698658
645090294,PAM04_a(B2)_R,,PAM04_a,Traced,693,142,259,58,12,2,279472747
675602461,PAM09(B1ped)_L,,PAM09,Traced,634,210,213,78,2,1,251389374
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,597,150,5,2,277333760
693927941,ALIN1_R,,ALIN1,Traced,1553,406,147,37,28,27,2113783525
707647321,PAM04_a(B2)_L,,PAM04_a,Traced,650,142,364,75,4,1,188620262
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,997,184,10,2,311089027
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,97,35,13,6,357006298
737167616,PAM02(B'2a)_R,,PAM02,Traced,1376,231,1,,638,155,360759597
766298734,PAM11(a1)_L,,PAM11,Traced,293,156,1,,12,5,271683779
767494105,KCab-p_R,,KCab-p,Traced,633,218,57,26,5,1,365582357
800264315,PAM04_a(B2)_R,,PAM04_a,Traced,1548,268,379,73,18,3,456132824
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,303,82,7,3,135248805
858725815,PAM03(B2B'2a)_L,,PAM03,Traced,445,109,141,30,28,10,159577026
893158121,PAM04_a(B2)_L,,PAM04_a,Traced,220,59,37,9,20,7,104991789
894020730,MBON31(a'1a)_R,,MBON31,Traced,10753,1087,2,,734,3,2722993954
1016114585,PAM11(a1)_L,,PAM11,Traced,513,193,3,,26,10,253818480
1016118449,PAM11(a1)_L,,PAM11,Traced,538,203,3,,12,4,307010567
1016805008,KCab-p_R,,KCab-p,Traced,703,242,81,37,10,3,378892564
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,84,2,5817,59,2083130629
1047183897,PAM04_a(B2)_R,,PAM04_a,Traced,3253,456,1163,173,11,1,656674162
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,2,1,7,6,327454873
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,465,136,13,4,233922701
1048207713,PAM09(B1ped)_R,,PAM09,Traced,938,203,230,61,25,4,430816435
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,1,,6260,92,2226046804
1050585709,PAM03(B2B'2a)_R,,PAM03,Traced,336,80,114,28,66,37,149916255
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,1226,206,7,1,367958807
1078572735,PAM04_a(B2)_R,,PAM04_a,Traced,338,71,98,24,7,2,135784276
1079707882,PAM04_a(B2)_L,,PAM04_a,Traced,289,75,94,24,11,3,96768615
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,5,1,5,3,339562986
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,812,203,19,2,720192159
1140655376,PAM02(B'2a)_R,,PAM02,Traced,1335,198,3,,475,113,297452211
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,647,130,19,2,498035936
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,391,77,25,4,474678964
1141329053,PAM04_a(B2)_R,,PAM04_a,Traced,1824,278,598,114,21,2,408798680
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,1,,2,1,396639821
1202462198,PAM02(B'2a)_L,,PAM02,Traced,1125,202,3,,352,82,211284785
1203066201,PAM02(B'2a)_R,,PAM02,Traced,1315,198,4,,528,134,330545885
1203066222,PAM04_a(B2)_R,,PAM04_a,Traced,2490,381,743,137,25,1,515766690
1203066401,PAM04_a(B2)_R,,PAM04_a,Traced,2309,357,690,113,9,1,444720536
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,2,2,25,5,659070629
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,180,59,47,16,239327987
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,2,,447,87,294286432
1263150527,KCa'B'_L?,,,Traced,243,99,1,1,71,34,106535146
1263832477,PAM03(B2B'2a)_L,,PAM03,Traced,571,107,239,47,30,10,145351462
1264186300,PAM01_a(y5)_L,,PAM01_a,Traced,900,143,1,,10,1,240889204
1293451424,KCa'B'_L?,,,Traced,211,97,1,,66,22,88610144
1293507539,KCa'B'_L?,,,Traced,183,74,5,,41,17,78579161
1293516024,KCa'B'_L?,,,Traced,261,110,2,,68,30,93745473
1293524890,KCa'B'_L?,,,Traced,248,95,2,1,112,41,101623491
1293848553,KCa'B'_L?,,,Traced,245,104,1,,81,38,93240384
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,184,48,6,2,225739136
1295566429,PAM02(B'2a)_L,,PAM02,Traced,1009,218,2,,322,81,267245995
1297815807,PAM10(B1)_L,,PAM10,Traced,1604,427,535,136,14,4,472380184
1324904932,KCa'B'_L?,,,Traced,302,137,5,,80,46,102727730
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,502,146,28,14,513933742
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,218,67,15,7,355086914
1387583729,PAM03(B2B'2a)_L,,PAM03,Traced,338,90,175,48,10,3,119268985
1387583807,PAM03(B2B'2a)_R,,PAM03,Traced,538,121,228,59,32,10,193662875
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,226,61,4,2,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,88,29,17,7,6190229391
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,570,92,14,1,383407340
5812979502,PAM01_a(y5)_L,,PAM01_a,Traced,1315,139,1,,3,1,291541065
5812980567,PAM09(B1ped)_R,,PAM09,Traced,1252,241,55,30,15,5,431109241
5812982727,PAM02(B'2a)_L,,PAM02,Traced,1214,193,3,,405,90,214337914
5812983418,PAM04_a(B2)_L,,PAM04_a,Traced,712,153,422,83,6,1,200836501
5812983533,PAM11(a1)_R,,PAM11,Traced,1022,216,2,4,18,8,502377982
5812989588,PAM03(B2B'2a)_R,,PAM03,Traced,373,91,70,11,76,29,151824685
5812996052,,,,Traced,609,368,197,63,5,9,688274394
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,5,2,20,6,248528210
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,3,,60,21,288587422
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,1,,14,1,2345461437
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,4,1,12,10,3486100136
5813087625,,,,Traced,951,208,943,196,1,3,126240451
5813091744,KCab-p_R,,KCab-p,Traced,635,285,44,19,12,6,392247819
5813093171,PAM04_a(B2)_L,,PAM04_a,Traced,1960,329,1283,208,2,1,324522133
5813098776,PAM02(B'2a)_R,,PAM02,Traced,1545,215,2,,703,155,340231907
5901200337,,,,Traced,228,89,3,,41,19,90022580
