id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,21,21,14,13,6917059458
360284300,LHCENT8_R,,LHCENT8,Traced,1953,1942,8,1,11,7,2878888552
363030040,KCab-s_R,,KCab-s,Traced,641,229,1,,3,1,313793782
394427392,KCab-s_R,,KCab-s,Traced,650,247,4,4,1,1,248847423
415511327,KCg-m_R,,KCg-m,Traced,791,213,4,1,2,2,357755854
416189500,KCg-m_R,,KCg-m,Traced,835,254,4,2,1,1,361575893
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,329,36,38,18,3157840413
423748579,LHPV10d1_R,,LHPV10d1,Traced,5206,1622,1,,5,2,2059917114
424754530,KCab-s_R,,KCab-s,Traced,612,241,8,1,,1,333968154
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,35,37,33,31,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,1109,3,42,25,4356555624
425086851,KCab-p_R,,KCab-p,Traced,737,269,2,,3,3,382647663
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,8,1,36,2,1773011190
425790257,APL_R,,APL,Traced,127151,16190,11254,1515,10116,1262,23360457066
426818061,KCab-p_R,,KCab-p,Traced,642,263,4,2,3,3,271653563
456467162,KCab-p_R,,KCab-p,Traced,574,248,5,3,,1,332313427
457175171,MBON15-like(a'1a'2)_R,,MBON15-like,Traced,2109,270,73,,1269,19,502230847
477572961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,624,239,307,131,174,92,389441845
477861840,KCab-p_R,,KCab-p,Traced,723,243,17,4,2,2,422024205
486815976,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,639,213,345,88,177,104,441509023
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,319,125,132,71,404232661
487160828,KCa'b'-m_R,,KCa'b'-m,Traced,644,233,270,111,170,79,432706975
487187476,SIP087_R,,SIP087,Traced,10957,3440,26,3,21,3,4036468535
