id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,gL(L) #post,gL(L) #pre,#voxels
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,248,35,19,35,5265462913
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,5,,51,2,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,5333,1048,16559,4033,6483095365
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,239,48,64,104,1964048244
549955973,PAM01_a(y5)_R,,PAM01_a,Traced,1461,152,3,,394,47,341998412
550081497,MBON24(B2y5)(PDL05)_L,,MBON24,Traced,5962,67,4739,13,437,3,758606595
581060581,CRE027_R,,CRE027,Traced,1821,325,1,,194,24,1320584874
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,3,,113,27,343929818
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,3,,137,15,299806071
645224664,PAM01_a(y5)_L,,PAM01_a,Traced,1162,147,3,,644,96,255879136
673509195,MBON01(y5B'2a)_L,,MBON01,Traced,29244,2205,4,,22344,28,6713237576
674519060,PAM01_a(y5)_L,,PAM01_a,Traced,766,148,3,,373,96,214397229
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,597,150,8,7,277333760
737167616,PAM02(B'2a)_R,,PAM02,Traced,1376,231,1,,36,4,360759597
767321428,CRE082(PDM13)_L,,CRE082,Traced,466,207,3,,10,5,646239106
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,303,82,4,1,135248805
829059301,CRE080(PDM13)_L,pMP6b candidates,CRE080,Traced,582,199,2,,26,3,697448888
891771553,CRE100(PDM27)_L,CL-VeSp,CRE100,Traced,2897,96,3,,172,1,1561570718
984536209,LAL100_R,,LAL100,Traced,3609,1173,1,,13,3,2063807718
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,3,,45,8,977135458
985472994,LAL198(PVM14)_L,,LAL198,Traced,595,720,1,,35,1,992826233
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,55,,8437,41,2278694286
1016118449,PAM11(a1)_L,,PAM11,Traced,538,203,3,,,1,307010567
1016611275,(PVL05)_L,,,Traced,934,741,1,1,150,45,614564619
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,84,2,13692,266,2083130629
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,1,,16,2,552011293
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,1,,13331,335,2226046804
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,1,,47,1,2791162363
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,5,1,1,1,339562986
