id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,gL(L) #post,gL(L) #pre,#voxels
298258513,SMP108_R,,SMP108,Traced,23289,2753,6,4,5,4,5584315251
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,14,13,644,151,6917059458
393404592,SMP127_R,,SMP127,Traced,2570,648,7,,13,4,1245001681
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,1,,5,1,5117109108
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,33,31,19,35,5265462913
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,36,2,51,2,1773011190
457520516,(MBDLaxon2),,,Traced,1102,1060,4,1,6,6,1208350209
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,14,20,64,104,1964048244
548712377,SMP384_R,,SMP384,Traced,6812,2733,1,1,4,1,2914119235
613083375,CRE032_L,,CRE032,Traced,918,233,52,1,3,2,653637060
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,2,,5,1,795100404
735134301,PAM08_c(y4)_R,,PAM08_c,Traced,2043,270,2,,412,78,383789277
988852391,PAM08_a(y4)_R,,PAM08_a,Traced,1072,176,2,,95,30,386116617
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,9,,13692,266,2083130629
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,2886,850,1407,485,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,18,,13331,335,2226046804
1050249677,PAM07(y4<y1y2)_R,,PAM07,Traced,1208,179,29,,78,29,419404915
1141678948,PAM08_e(y4)_R,,PAM08_e,Traced,656,148,1,,67,20,295914008
1170400248,APL fragment?,,,Traced,2026,235,25,1,1,1,293828523
1204175835,PAM07(y4<y1y2)_R,,PAM07,Traced,1223,182,2,,79,32,429243268
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,1,,10,1,366409907
1326813363,PAM08_a(y4)_R,,PAM08_a,Traced,916,164,7,,114,25,354276543
5812981240,CRE064_R,,CRE064,Traced,492,198,1,,2,1,357393687
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,2,,38,2,3349981626
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,52,1,351,92,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,2837,682,1423,464,5444071374
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,9,10,211,143,3486100136
5813109941,PAM07(y4<y1y2)_R,,PAM07,Traced,1075,183,4,,108,38,357750093
