id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,aL(R) #post,aL(R) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,644,151,18,17,6917059458
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,5,1,67,11,5117109108
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,19,35,651,177,5265462913
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,51,2,69,21,1773011190
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,64,104,119,30,1964048244
955591114,PAM14(B'1m)_L,,PAM14,Traced,362,178,1,,,2,192486246
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,1407,485,11,1,4211579375
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,1,1,555,195,339562986
1196854070,PPL101(y1pedc)(PDL05)_L,,PPL101,Traced,12028,2161,13,,40,9,3658564958
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,19,7,83,23,6190229391
5813019607,PPL106(a3)(PDL05)_L,,PPL106,Traced,6476,1564,10,,3696,923,1814973075
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,4,,3,1,869209965
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,351,92,4,2,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,1423,464,20,4,5444071374
