id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,gL(R) #post,gL(R) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,12,1,15,6,1973521252
299289811,SMP146_R,,SMP146,Traced,5080,1011,22,15,20,4,2562854346
328601956,CRE105_R,,CRE105,Traced,1995,492,36,14,38,2,1150202676
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,644,151,424,316,6917059458
361445621,SMP108(ADM05)_L,,SMP108,Traced,11702,2349,144,,9,3,3653164758
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,5,1,4814,1090,5117109108
422738252,SMP178_R,,SMP178,Traced,6049,1058,10,,6,3,2124179274
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,19,35,15468,213,5265462913
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,51,2,19,1,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,16559,4033,1336,329,6483095365
455159380,PAM01_b(y5)_R,,PAM01_b,Traced,1311,162,259,39,722,112,330101101
456174330,PAM01_b(y5)_R,,PAM01_b,Traced,797,133,110,32,405,93,279536002
456523994,SMP165_R,,SMP165,Traced,1962,465,25,5,15,3,1120887108
480258208,LHPV8a1_R,,LHPV8a1,Traced,1555,683,54,1,33,1,1994134905
484130600,SMP145_R,,SMP145,Traced,3609,2264,10,5,14,6,2489431605
487899562,PAM01_a(y5)_R,,PAM01_a,Traced,1668,150,392,50,827,100,380174418
488559952,PAM01_a(y5)_R,,PAM01_a,Traced,1180,168,223,42,594,121,322182562
488581156,(MBDLaxon2),,,Traced,989,933,4,1,8,3,1178319505
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,64,104,73,84,1964048244
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,15,5,14,7,3738265959
519279166,CRE027_L,,CRE027,Traced,2134,327,41,10,23,6,973318320
520380132,SMP127_L,,SMP127,Traced,508,457,13,,2,1,478509017
549955973,PAM01_a(y5)_R,,PAM01_a,Traced,1461,152,394,47,710,103,341998412
550408954,PAM01_a(y5)_L,,PAM01_a,Traced,1203,163,679,111,330,44,305318308
550426732,CRE107(SCB016)_L,,CRE107,Traced,3948,1079,34,,33,7,2914412525
551043841,CRE033_L,,CRE033,Traced,754,252,2,1,1,6,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,12,2,2,7,1064093786
552101431,CRE005(ADM01)_L,,CRE005,Traced,1035,827,7,,12,4,979623989
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,274,58,909,198,417405171
581060581,CRE027_R,,CRE027,Traced,1821,325,194,24,35,3,1320584874
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,113,27,651,132,343929818
582101022,SMP116_R,,SMP116,Traced,3184,702,3,4,1,1,1840967376
582355376,PAM08_e(y4)_R,,PAM08_e,Traced,640,136,72,19,311,107,285136614
610312734,CRE023_R,,CRE023,Traced,3901,1023,18,3,49,5,2864705468
610731053,CRE027_R,,CRE027,Traced,1623,294,9,,23,6,1208551353
612371421,MBON01(y5B'2a)_R,,MBON01,Traced,32544,2208,10,,25325,10,6839504360
612414168,CRE029_a_L,,CRE029_a,Traced,1164,295,4,4,20,22,791330474
612440702,PAM01_b(y5)_L,,PAM01_b,Traced,695,152,455,118,119,27,243491946
612742248,MBON25(y1y2)_L,,MBON25,Traced,1427,232,9,,1010,49,665934503
612755343,CRE023_L,,CRE023,Traced,2297,801,34,1,24,1,2214780944
613040803,CRE049_R,,CRE049,Traced,2229,750,6,5,19,9,1511757943
613083375,CRE032_L,,CRE032,Traced,918,233,3,2,339,17,653637060
613398716,PAM01_b(y5)_R,,PAM01_b,Traced,757,143,73,23,389,112,287310191
613420343,SMP056_R,,SMP056,Traced,2563,469,33,2,213,1,1649344502
613835634,PAM01_b(y5)_L,,PAM01_b,Traced,393,131,285,105,54,23,212670007
613847777,PAM01_a(y5)_L,,PAM01_a,Traced,1284,133,800,95,310,36,321942494
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,27,,100,2,2023774583
643142863,PAM01_a(y5)_L,,PAM01_a,Traced,1591,156,914,104,362,52,328254208
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,137,15,61,12,299806071
643794320,CRE029_a_R,,CRE029_a,Traced,1062,344,10,16,10,23,777368664
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,5,1,37,1,795100404
644148647,CRE031_R,,CRE031,Traced,756,196,91,6,15,5,583473753
644148661,CRE036_R,,CRE036,Traced,338,130,4,,4,1,458497013
644870768,PAM01_a(y5)_L,,PAM01_a,Traced,935,143,591,110,157,33,315394433
645224664,PAM01_a(y5)_L,,PAM01_a,Traced,1162,147,644,96,315,48,255879136
674519060,PAM01_a(y5)_L,,PAM01_a,Traced,766,148,373,96,246,52,214397229
674807824,CRE029_a_L,,CRE029_a,Traced,1445,320,1,2,5,2,836699232
675144948,CRE031_L,,CRE031,Traced,654,198,4,,10,2,598509417
675187509,CRE033_R,,CRE033,Traced,698,177,8,2,3,16,611705625
675187572,CRE030_a_R,,CRE030_a,Traced,642,213,6,,8,1,668621996
675187643,CRE030_b_R,,CRE030_b,Traced,784,235,46,4,29,4,739581338
676263239,PAM01_a(y5)_L,,PAM01_a,Traced,1358,128,809,90,350,37,317801168
735134301,PAM08_c(y4)_R,,PAM08_c,Traced,2043,270,412,78,964,189,383789277
735470654,AVLP563_R,,AVLP563,Traced,3287,876,3,1,8,6,2355820571
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,21,12,13,12,1598047565
798356481,PAM08_b(y4)_L,,PAM08_b,Traced,1248,244,497,119,298,76,337662143
799279899,LAL154(PVM03)_L,,LAL154,Traced,1229,794,13,,41,4,1511191160
819725372,CL199_R,,CL199,Traced,3265,863,3,,4,1,2739280146
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,388,131,312,89,440919426
859735285,CRE105(PVL06)_L,,CRE105,Traced,1589,470,71,8,33,5,710680979
862705904,PAM12(y3)_R,,PAM12,Traced,1178,193,197,74,369,110,402053568
893149866,PAM12(y3)_L,,PAM12,Traced,966,216,366,128,200,81,258249835
893754136,(MBDLaxon2),,,Traced,2509,1179,21,1,13,6,3754329882
893805187,PAM08_e(y4)_L,,PAM08_e,Traced,529,146,295,96,88,24,333510589
924429714,PAM08_b(y4)_R,,PAM08_b,Traced,1917,289,332,75,770,186,417638669
925799233,PAM01_b(y5)_R,,PAM01_b,Traced,826,142,118,30,400,107,306649148
954528474,PAM08_c(y4)_L,,PAM08_c,Traced,1738,298,986,200,442,87,337379008
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,256,95,257,78,382633721
956138930,PAM08_a(y4)_R,,PAM08_a,Traced,1129,197,122,36,653,157,350478437
983759126,PAM12(y3)_R,,PAM12,Traced,963,155,362,93,265,59,332844630
984453829,,,,Traced,659,689,3,3,4,1,584836699
984536209,LAL100_R,,LAL100,Traced,3609,1173,13,3,5,4,2063807718
984799284,CRE060_R,,CRE060,Traced,844,393,67,34,8,1,738647628
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,45,8,40,8,977135458
985472994,LAL198(PVM14)_L,,LAL198,Traced,595,720,35,1,17,2,992826233
985813153,MBON21(y4y5)(PVL06)_L,,MBON21,Traced,10041,1229,8437,41,46,12,2278694286
985818067,,,,Traced,176,317,34,31,26,12,271365706
986828383,PAM13(B'1ap)_R,,PAM13,Traced,1117,228,4,3,13,5,389938087
987997896,PAM13(B'1ap)_L,,PAM13,Traced,735,199,108,28,13,6,294789403
988852391,PAM08_a(y4)_R,,PAM08_a,Traced,1072,176,95,30,757,144,386116617
1011184205,DSKMP1B(PVM02)_L,,DSKMP1B,Traced,473,544,19,20,6,9,4703423471
1015143077,CRE024_L,,CRE024,Traced,4924,969,100,,116,1,1768786393
1015484487,,,,Traced,623,710,3,,1,2,523595977
1015825657,,,,Traced,168,299,5,3,12,11,271480057
1016166622,CRE067_R,,CRE067,Traced,1039,396,43,15,219,3,735317516
1016166928,,,,Traced,202,385,13,18,30,4,299158941
1016506999,LAL198_R,,LAL198,Traced,2427,780,39,,23,1,1609357758
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,13692,266,60,6,2083130629
1019024473,PAM07(y4<y1y2)_L,,PAM07,Traced,573,170,425,131,90,38,263160144
1019347828,PAM08_a(y4)_L,,PAM08_a,Traced,719,179,520,150,110,27,228381303
1047210325,,,,Traced,258,404,39,22,21,2,324251843
1047525093,PAM01_a(y5)_R,,PAM01_a,Traced,1849,155,400,42,877,112,376757647
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,1407,485,5046,2005,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,13331,335,34,8,2226046804
1050249677,PAM07(y4<y1y2)_R,,PAM07,Traced,1208,179,78,29,869,149,419404915
1051630846,PAM08_e(y4)_R,,PAM08_e,Traced,990,163,80,23,727,129,368736251
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,47,1,17278,206,2791162363
