id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,PB #post,PB #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3576,2111,3,3,6917059458
387023620,PEN_b(PB06b)_L4,PEN2,PEN_b(PEN2),Traced,1713,343,3,2,776,1,686693145
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,26,1,265,213,1469716322
416642425,EPG(PB08)_R4,EPG,EPG,Traced,3834,470,24,1,318,224,1169220265
417998204,PFNv(PB05)_R4_C7,PFNv,PFNv,Traced,999,229,66,78,324,26,476702093
419060083,PFGs(PB10)_L2_C2,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2395,556,2128,512,174,23,1107227318
446714544,PFNd(PB04)_L5_C4,PFNd,PFNd,Traced,1407,310,328,215,538,1,488272608
449438847,EPG(PB08)_L3,EPG,EPG,Traced,4595,609,24,,331,204,1356917252
478077561,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,617,118,37,74,352,1,331399103
478375456,EPG(PB08)_R3,EPG,EPG,Traced,4249,483,9,1,272,212,1290806813
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,81,110,373,50,549640572
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,2348,14,380,1,1542373100
481121605,PFL1(PB12a)_L2_C3,PFLC,PFL1,Traced,1916,329,1092,9,712,2,1365074914
508793049,PEN_a(PB06a)_L7,PEN1,PEN_a(PEN1),Traced,1607,587,4,,274,4,809613851
541118908,EPG(PB08)_R3,EPG,EPG,Traced,3796,523,13,,321,263,1092662993
541119189,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,645,118,40,64,311,1,347051058
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,20,2,257,207,1262283600
569481415,PFNa(PB03)_L5_C4,PFNa,PFNa,Traced,890,194,55,123,381,3,506958053
570185174,PFNa(PB03)_L7_C6,PFNa,PFNa,Traced,820,203,38,125,259,4,519425583
571826184,PFNp_a(PB01a)_R3_C8,PFNp_a,PFNp_a,Traced,277,74,28,38,117,4,190747929
572167406,PFNp_a(PB01a)_R2_C9,PFNp_a,PFNp_a,Traced,262,63,19,30,119,2,161518101
572494993,PFNv(PB05)_R4_C7,PFNv,PFNv,Traced,887,211,41,66,320,32,410291839
572870540,EPG(PB08)_L1,,EPG,Traced,4957,615,19,,312,244,1495976797
601120917,PFNv(PB05)_R6_C5,PFNv,PFNv,Traced,935,249,41,66,420,44,324848103
601557317,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,560,216,53,80,132,35,358469624
604242162,PFNv(PB05)_L2_C1,PFNv,PFNv,Traced,1137,327,122,131,443,47,602925629
632155800,PFNv(PB05)_R6_C5,PFNv,PFNv,Traced,1042,258,49,78,382,34,458330645
632259507,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,148,48,15,24,36,1,124912295
632544268,EPG(PB08)_R2,EPG,EPG,Traced,3959,432,11,,265,207,1117114642
632600726,PFNm_a(PB02a)_L6_C5,PFNm_a,PFNm_a,Traced,492,99,54,57,123,1,218388914
632915714,PFNm_a(PB02a)_L4_C3,PFNm_a,PFNm_a,Traced,626,95,46,56,197,1,246213024
633546217,EPG(PB08)_R4,EPG,EPG,Traced,3200,413,24,3,284,205,946141479
633943192,PFNd(PB04)_L4_C3,PFNd,PFNd,Traced,1133,197,176,121,552,1,471084398
634608015,PFR_a(PB11a)_L2_C2,PFR_a,PFR_a,Traced,1817,502,1705,453,59,2,533161528
634962055,EPG(PB08)_L4,EPG,EPG,Traced,3515,530,34,2,356,227,1313237477
635234035,PFL2(PB12b)_R3_C3,PB1-4FB1245LAL,PFL2,Traced,2968,326,2229,13,618,4,1102000302
663298610,PFNd(PB04)_L6_C5,,PFNd,Traced,709,183,187,127,197,2,403942805
663562172,PEN_b(PB06b)_R4,PEN2,PEN_b(PEN2),Traced,1544,319,1,,630,2,668330517
663950729,PFNm_b(PB02b)_L4_C3,PFNm_b,PFNm_b,Traced,486,93,88,58,149,1,224974171
664313308,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,183,57,15,27,49,3,75752334
664650297,PEN_b(PB06b)_L6,PEN2,PEN_b(PEN2),Traced,1230,327,1,,410,2,428103635
664943511,PFGs(PB10)_R1_C1_irreg,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2414,444,2152,410,194,20,1060006550
665314820,EPG(PB08)_L4,EPG,EPG,Traced,3576,546,11,2,275,212,1249529709
666312288,PFR_b(PB11b)_L1_C2,PFR_b,PFR_b,Traced,2657,345,2275,126,214,13,873271854
693755250,PEN_b(PB06b)_R7,PEN2,PEN_b(PEN2),Traced,1890,432,4,16,822,4,916318576
693979726,PFNp_e(PB01a)_L7_C6,PFNp_e,PFNp_e,Traced,326,78,22,40,84,1,207682939
694670373,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,147,56,7,23,30,3,125648610
694920753,EPG(PB08)_R5,EPG,EPG,Traced,3441,455,9,,211,193,1192481040
695270840,PFNd(PB04)_R4_C6,,PFNd,Traced,862,178,168,113,349,1,449980991
695629525,EPG(PB08)_R2,EPG,EPG,Traced,4153,472,5,,301,222,1239801790
695956656,EPG(PB08)_R4,EPG,EPG,Traced,3738,464,28,4,288,237,1139686992
696362840,EPG(PB08)_L5,EPG,EPG,Traced,3491,536,21,2,271,222,1290354899
697001770,EPG(PB08)_L2,EPG,EPG,Traced,4160,494,31,2,316,192,1220895242
697355847,PFNd(PB04)_L3_C2,PFNd,PFNd,Traced,1446,321,392,233,604,2,693721878
699031185,SIFa(PDM34),,SIFa,Traced,1080,777,39,38,39,18,5702733325
723602649,PFNv(PB05)_R2_C9,PFNv,PFNv,Traced,1098,316,72,82,292,41,478849250
724267537,PFNv(PB05)_R5_C6,PFNv,PFNv,Traced,1294,324,114,114,569,50,557959797
724280817,PEN_b(PB06b)_R2,PEN2,PEN_b(PEN2),Traced,1882,456,1,2,757,3,838679464
725942718,EL(EQ5)_R,EBGAs,EL,Traced,5071,927,5,2,,1,1343378417
725951521,EPG(PB08)_R5,EPG,EPG,Traced,3479,415,28,1,258,196,1113260436
726352774,PFGs(PB10)_L4_C4,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2343,553,2161,534,118,3,1097656982
727376283,PFR_a(PB11a)_L4_C4,PFR_a,PFR_a,Traced,1578,447,1422,378,60,1,550647258
757055317,PEN_a(PB06a)_L4,PEN1,PEN_a(PEN1),Traced,1538,415,2,,569,2,719023584
757055403,PFNp_c(PB01c)_L4_C3,PFNp_c,PFNp_c,Traced,331,80,27,46,105,1,189910355
757413552,PFNd(PB04)_L6_C5,PFNd,PFNd,Traced,848,218,207,128,219,2,282580635
758419409,EPG(PB08)_L3,EPG,EPG,Traced,4163,589,11,,215,195,1367317453
759084486,PFNa(PB03)_L2_C1,PFNa,PFNa,Traced,766,133,47,73,371,1,414490420
786013856,PFNd(PB04)_R3_C7,,PFNd,Traced,1465,270,271,174,686,1,603628773
