id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,b'L(L) #post,b'L(L) #pre,#voxels
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3576,2111,19,14,6917059458
1043151516,,,,Traced,156,246,3,,1,3,889810212
1131826900,FB4O_L,CRESMPFB4d,FB4O,Traced,1273,625,736,549,8,5,635401587
1286315478,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2212,893,1945,881,7,1,905540252
1317712712,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2131,874,1965,865,12,2,917030170
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,131,64,8,9,6190229391
5813016954,FC1C(FQ6)_C7_R,FB2CRE,FC1C,Traced,671,113,641,74,,1,298598939
5813058195,FB2I_a_L,SMPATLFB2,FB2I_a,Traced,1481,721,1307,688,,1,1069202035
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,3071,1745,48,36,3486100136
5813088712,FB4D_L,CRESMPFB4_2,FB4D,Traced,1404,318,1032,295,6,6,519936683
