id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(L) #post,aL(L) #pre,b'L(L) #post,b'L(L) #pre,#voxels
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,27,8,29,38,5265462913
425276848,DPM_L,,DPM,Traced,30007,7088,1,,6728,1648,6483095365
489051772,,,,Traced,52,32,3,1,8,7,25148698
489051866,,,,Traced,71,40,6,2,7,2,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,131,51,40,71,1964048244
581465861,,,,Traced,331,401,1,,,2,483750868
706633128,,,,Traced,52,36,6,5,,2,27955134
831113316,,,,Traced,51,28,2,1,1,1,25931501
831114007,,,,Traced,48,29,4,,1,1,23307647
1015622418,,,,Traced,809,407,3,2,15,13,235779801
1173866149,,,,Traced,400,200,5,3,348,160,142748783
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,1,,12,3,355086914
5813019976,PPL104(a'3)(PDL05)_L,,PPL104,Traced,2138,770,3,1,138,1,869209965
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,289,106,181,14,2038784377
