id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,bL(R) #post,bL(R) #pre,#voxels
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,2,,10037,18,4356555624
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,1,1,352,77,279368748
551445253,PAM04_a(B2)_L,,PAM04_a,Traced,1266,271,11,7,449,109,307715800
551790504,PAM04_a(B2)_L,,PAM04_a,Traced,2460,400,2,,856,147,382607989
582139830,PAM04_a(B2)_L,,PAM04_a,Traced,1306,281,2,1,394,101,324988292
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,1,1,624,125,311089027
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,4,3,191,55,135248805
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,1,,953,186,367958807
1167300055,ER4d(ring)_L,,ER4d,Traced,2037,613,7,2,,1,795222199
1230026228,ER4d(ring)_L,,ER4d,Traced,1953,590,5,3,,1,777031418
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,5,,67,16,225739136
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,17,1,,2,3349981626
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,777,576,,1,2164861052
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,6,1,7725,12,3410455915
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,19,57,5,1,3288021127
