id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,#voxels
268725517,PAM09(B1ped)_L,,PAM09,Traced,808,241,15,5,323658271
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,19,53,1973521252
299082033,LHPV5e1(PDL05)_L,,LHPV5e1,Traced,4201,1313,1,1,1486830838
299613480,PAM09(B1ped)_R,,PAM09,Traced,1853,338,15,10,549779297
328546871,PAM10(B1)_R,,PAM10,Traced,2576,500,11,1,766273281
329435390,PAM10(B1)_L,,PAM10,Traced,1374,379,8,4,475403925
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,21,21,6917059458
333035349,KCab-s_R,,KCab-s,Traced,526,212,2,1,254599892
359586213,PAM09(B1ped)_R,,PAM09,Traced,920,206,26,7,434301483
359598627,PAM10(B1)_R,,PAM10,Traced,2328,465,14,5,746539922
360284300,LHCENT8_R,,LHCENT8,Traced,1953,1942,8,1,2878888552
360941147,PAM09(B1ped)_R,,PAM09,Traced,806,187,44,8,377339671
361312808,SMP503_R,,SMP503,Traced,6751,2857,5,1,3604127635
393404592,SMP127_R,,SMP127,Traced,2570,648,12,29,1245001681
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,4,1,5117109108
394427392,KCab-s_R,,KCab-s,Traced,650,247,4,4,248847423
415511327,KCg-m_R,,KCg-m,Traced,791,213,4,1,357755854
416189500,KCg-m_R,,KCg-m,Traced,835,254,4,2,361575893
422682603,PAM04_a(B2)_R,,PAM04_a,Traced,747,134,12,1,250175925
422725634,MBON06(B1>a)(AVM07)_L,,MBON06,Traced,21000,1356,329,36,3157840413
422751191,SMP177_R,,SMP177,Traced,13884,2333,17,5,3691832933
424193116,SMP179(PDL05)_L,,SMP179,Traced,1202,459,8,2,886175713
424754530,KCab-s_R,,KCab-s,Traced,612,241,8,1,333968154
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,35,37,5265462913
424789697,MBON02(B2B'2a)_R,,MBON02,Traced,19554,1155,1109,3,4356555624
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,8,1,1773011190
425126008,SIP028_R,,SIP028,Traced,604,128,1,1,384631851
425276848,DPM_L,,DPM,Traced,30007,7088,3,2,6483095365
425790257,APL_R,,APL,Traced,127151,16190,11254,1515,23360457066
426818061,KCab-p_R,,KCab-p,Traced,642,263,4,2,271653563
453380528,PAM04_b(B2)_R,,PAM04_b,Traced,593,118,13,1,226850098
454252960,PAM10(B1)_L,,PAM10,Traced,1042,269,4,2,348888419
455431209,PAM10(B1)_R,,PAM10,Traced,2567,522,12,9,846161332
456121649,KCab-s_R,,KCab-s,Traced,555,221,2,1,309280336
456462835,KCab-p_R,,KCab-p,Traced,646,277,7,3,383994746
456462919,KCab-p_R,,KCab-p,Traced,633,245,9,1,354321563
456467162,KCab-p_R,,KCab-p,Traced,574,248,5,3,332313427
456846996,PAM11(a1)_R,,PAM11,Traced,529,165,15,8,371345136
477572961,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,624,239,307,131,389441845
477861840,KCab-p_R,,KCab-p,Traced,723,243,17,4,422024205
482762280,PAM11(a1)_R,,PAM11,Traced,1199,235,10,5,555872978
484130600,SMP145_R,,SMP145,Traced,3609,2264,10,6,2489431605
484735678,PAM04_a(B2)_R,,PAM04_a,Traced,867,142,11,1,279368748
485585976,SMP177(PDL05)_L,,SMP177,Traced,7757,1966,2,9,2422546196
486815976,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,639,213,345,88,441509023
486837442,KCa'b'-m_R,,KCa'b'-m,Traced,642,247,319,125,404232661
486880919,SMP012_R,,SMP012,Traced,1734,464,4,1,1337974199
487160828,KCa'b'-m_R,,KCa'b'-m,Traced,644,233,270,111,432706975
487187476,SIP087_R,,SIP087,Traced,10957,3440,26,3,4036468535
487191669,,,,Traced,246,125,3,1,303378637
487489028,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,562,250,287,133,434027068
