id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,gL(L) #post,gL(L) #pre,#voxels
268731005,SMP146(ADM10)_L,,SMP146,Traced,3566,962,19,53,12,1,1973521252
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,21,21,644,151,6917059458
393404592,SMP127_R,,SMP127,Traced,2570,648,12,29,13,4,1245001681
393766777,PPL101(y1pedc)_R,,PPL101,Traced,16276,2197,4,1,5,1,5117109108
424767514,MBON11(y1pedc>a/B)_R,,MBON11,Traced,27642,1646,35,37,19,35,5265462913
425104178,CRE050(AVM07)_L,not yet identified MBON candidates,CRE050,Traced,3086,943,8,1,51,2,1773011190
425276848,DPM_L,,DPM,Traced,30007,7088,3,2,16559,4033,6483095365
455159380,PAM01_b(y5)_R,,PAM01_b,Traced,1311,162,7,,259,39,330101101
456174330,PAM01_b(y5)_R,,PAM01_b,Traced,797,133,1,,110,32,279536002
484130600,SMP145_R,,SMP145,Traced,3609,2264,10,6,10,5,2489431605
487899562,PAM01_a(y5)_R,,PAM01_a,Traced,1668,150,28,,392,50,380174418
487925063,MBON04(B'2mp_bilateral)_R,,MBON04,Traced,16859,1776,59,,2269,4,3269688224
488559952,PAM01_a(y5)_R,,PAM01_a,Traced,1180,168,26,2,223,42,322182562
488581156,(MBDLaxon2),,,Traced,989,933,1,1,4,1,1178319505
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,11,26,64,104,1964048244
549955973,PAM01_a(y5)_R,,PAM01_a,Traced,1461,152,24,,394,47,341998412
550408954,PAM01_a(y5)_L,,PAM01_a,Traced,1203,163,17,,679,111,305318308
580317662,PAM08_c(y4)_R,,PAM08_c,Traced,1866,319,53,21,274,58,417405171
581121328,,,,Traced,890,139,3,,6,1,851399266
581332573,PAM01_a(y5)_R,,PAM01_a,Traced,1119,161,10,,113,27,343929818
613040803,CRE049_R,,CRE049,Traced,2229,750,3,,6,5,1511757943
613083375,CRE032_L,,CRE032,Traced,918,233,18,1,3,2,653637060
613398716,PAM01_b(y5)_R,,PAM01_b,Traced,757,143,2,,73,23,287310191
613847777,PAM01_a(y5)_L,,PAM01_a,Traced,1284,133,9,1,800,95,321942494
643142863,PAM01_a(y5)_L,,PAM01_a,Traced,1591,156,14,,914,104,328254208
643501489,PAM02(B'2a)_L,,PAM02,Traced,1213,188,291,55,137,15,299806071
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,5,,5,1,795100404
644870768,PAM01_a(y5)_L,,PAM01_a,Traced,935,143,4,,591,110,315394433
645224664,PAM01_a(y5)_L,,PAM01_a,Traced,1162,147,7,,644,96,255879136
675528661,CRE024_R,,CRE024,Traced,4337,984,5,,179,1,2090195593
676263239,PAM01_a(y5)_L,,PAM01_a,Traced,1358,128,3,,809,90,317801168
676612729,PAM04_a(B2)_L,,PAM04_a,Traced,836,225,5,2,8,7,277333760
730013818,ATL007(ADM10)_L,CL-AtIb(c)1,ATL007,Traced,1013,340,4,,27,3,877968363
735134301,PAM08_c(y4)_R,,PAM08_c,Traced,2043,270,4,,412,78,383789277
737167616,PAM02(B'2a)_R,,PAM02,Traced,1376,231,638,155,36,4,360759597
760690116,CRE066_R,,CRE066,Traced,934,533,11,3,3,4,937265171
798356481,PAM08_b(y4)_L,,PAM08_b,Traced,1248,244,2,,497,119,337662143
798585556,PAM06_b(B'2m)_L,,PAM06_b,Traced,959,114,172,22,13,2,214518180
800303089,PPL108_R,,PPL108,Traced,5875,2272,1,,,2,2618373937
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,7,3,4,1,135248805
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,4,2,388,131,440919426
830276571,PAM05(B'2p)_R,,PAM05,Traced,1135,314,339,189,9,3,425507826
862705904,PAM12(y3)_R,,PAM12,Traced,1178,193,8,1,197,74,402053568
863711565,PAM12(y3)_R,,PAM12,Traced,598,73,1,,305,72,271740734
893149866,PAM12(y3)_L,,PAM12,Traced,966,216,4,2,366,128,258249835
917919724,CRE066_R,,CRE066,Traced,605,431,3,4,6,2,706765280
924429714,PAM08_b(y4)_R,,PAM08_b,Traced,1917,289,8,,332,75,417638669
925799233,PAM01_b(y5)_R,,PAM01_b,Traced,826,142,1,,118,30,306649148
953755666,LHAV9a1_c_R,,LHAV9a1_c,Traced,496,241,1,,9,1,429926220
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,4,1,256,95,382633721
956138930,PAM08_a(y4)_R,,PAM08_a,Traced,1129,197,1,,122,36,350478437
984453829,,,,Traced,659,689,6,,3,3,584836699
984540390,CRE059(AVM13)_L,,CRE059,Traced,622,538,1,,18,2,540136093
984794932,CRE068_R,,CRE068,Traced,513,268,3,1,3,3,494990396
984799284,CRE060_R,,CRE060,Traced,844,393,2,,67,34,738647628
985131499,MBON22(calyx)(PVL06)_L,,MBON22,Traced,685,760,9,,45,8,977135458
986828383,PAM13(B'1ap)_R,,PAM13,Traced,1117,228,293,125,4,3,389938087
987997896,PAM13(B'1ap)_L,,PAM13,Traced,735,199,172,78,108,28,294789403
1015825657,,,,Traced,168,299,2,,5,3,271480057
1016118449,PAM11(a1)_L,,PAM11,Traced,538,203,12,4,,1,307010567
1016166622,CRE067_R,,CRE067,Traced,1039,396,3,,43,15,735317516
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,5817,59,13692,266,2083130629
1043151516,,,,Traced,156,246,4,4,,8,889810212
1046506683,CRE066(AVM16)_L,,CRE066,Traced,398,465,6,2,12,2,373177564
1047210325,,,,Traced,258,404,2,,39,22,324251843
1047525093,PAM01_a(y5)_R,,PAM01_a,Traced,1849,155,23,,400,42,376757647
1048172314,PPL103(y2a'1)(PDL05)_L,,PPL103,Traced,12116,3488,300,72,1407,485,4211579375
1048215779,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20255,1451,6260,92,13331,335,2226046804
1051630846,PAM08_e(y4)_R,,PAM08_e,Traced,990,163,19,4,80,23,368736251
1078693835,MBON09(y3B'1)_R,,MBON09,Traced,23111,1297,10,,47,1,2791162363
1081086613,PAM12(y3)_L,,PAM12,Traced,656,141,1,1,218,74,283506292
1081434698,PAM07(y4<y1y2)_L,,PAM07,Traced,736,186,1,,533,150,257320792
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,5,3,1,1,339562986
1109957857,PAM01_a(y5)_R,,PAM01_a,Traced,1749,157,10,,264,37,437796532
1110307501,PAM08_b(y4)_R,,PAM08_b,Traced,1379,227,2,,261,62,318277000
1110640084,CRE067_R,,CRE067,Traced,1342,370,1,,25,11,763267727
1110997994,PAM08_b(y4)_R,,PAM08_b,Traced,1516,267,2,,275,78,352373355
1140655376,PAM02(B'2a)_R,,PAM02,Traced,1335,198,475,113,104,20,297452211
1140655624,PAM08_c(y4)_R,,PAM08_c,Traced,2153,287,21,8,340,67,393170688
1140737968,PAM08_b(y4)_L,,PAM08_b,Traced,1143,227,4,1,550,118,305493467
1141000881,PAM08_b(y4)_R,,PAM08_b,Traced,2012,319,7,,532,113,424890767
1141009503,PAM08_b(y4)_L,,PAM08_b,Traced,475,203,2,1,79,65,128056257
1141337557,PAM08_d(y4)_R,,PAM08_d,Traced,1707,334,259,103,89,19,427493806
1141337605,PAM08_e(y4)_R,,PAM08_e,Traced,1013,193,3,1,85,36,410437147
1141342258,PAM08_a(y4)_R,,PAM08_a,Traced,1115,191,2,,179,41,391835218
1141350537,PAM08_b(y4)_R,,PAM08_b,Traced,1586,231,10,1,295,77,357280522
1141678948,PAM08_e(y4)_R,,PAM08_e,Traced,656,148,2,,67,20,295914008
1141687128,PAM07(y4<y1y2)_R,,PAM07,Traced,1417,168,5,,67,24,394678553
1141692008,PAM08_a(y4)_R,,PAM08_a,Traced,1126,202,3,,154,47,370793520
1142356576,PAM08_a(y4)_R,,PAM08_a,Traced,995,194,4,,117,34,343199907
1142365351,PAM08_a(y4)_R,,PAM08_a,Traced,1006,164,6,,184,47,393275875
1170400248,APL fragment?,,,Traced,2026,235,481,47,1,1,293828523
1170404875,PAM05(B'2p)_R,,PAM05,Traced,682,237,177,126,3,4,319299901
1171431567,PAM01_a(y5)_L,,PAM01_a,Traced,1015,141,10,,587,102,302471572
1171436073,PAM13(B'1ap)_L,,PAM13,Traced,638,221,222,107,3,2,272074555
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,653,119,32,6,324421746
1172031461,PAM08_c(y4)_R,,PAM08_c,Traced,1912,251,13,3,422,81,387429139
1172372655,PAM02(B'2a)_R,,PAM02,Traced,1472,209,644,145,18,3,330410034
1172441674,PAM12(y3)_L,,PAM12,Traced,982,186,1,,674,149,317578750
1172774470,PAM15_a(y5B'2a)_L,,PAM15_a,Traced,1480,187,164,35,508,66,311773637
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,2,1,132,38,396639821
1202462198,PAM02(B'2a)_L,,PAM02,Traced,1125,202,352,82,5,1,211284785
1203070528,PAM01_a(y5)_R,,PAM01_a,Traced,712,157,15,,102,38,320100027
1204124270,PAM01_a(y5)_R,,PAM01_a,Traced,1841,147,18,,458,45,360645236
1204175835,PAM07(y4<y1y2)_R,,PAM07,Traced,1223,182,4,,79,32,429243268
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,299,141,10,1,366409907
1204547624,PAM12(y3)_L,,PAM12,Traced,828,213,2,2,425,149,296229744
1204875505,PAM12(y3)_L,,PAM12,Traced,864,203,3,,430,120,228273943
1205225146,PAM12(y3)_L,,PAM12,Traced,900,201,4,1,479,133,297353925
1206114100,PAM12(y3)_R,,PAM12,Traced,764,137,1,,221,52,308877449
1233428010,PAM01_a(y5)_R,,PAM01_a,Traced,1101,172,10,1,186,43,371802936
1233436479,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1278,153,157,19,268,40,294637816
1233501275,PAM13(B'1ap)_L,,PAM13,Traced,530,212,168,87,1,1,239615319
