id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,gL(L) #post,gL(L) #pre,#voxels
298258513,SMP108_R,,SMP108,Traced,23289,2753,9,3,5,4,5584315251
328601956,CRE105_R,,CRE105,Traced,1995,492,16,2,36,14,1150202676
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,59,47,644,151,6917059458
456523994,SMP165_R,,SMP165,Traced,1962,465,4,,25,5,1120887108
484130600,SMP145_R,,SMP145,Traced,3609,2264,202,235,10,5,2489431605
518558825,CRE107(SCB016)_R,,CRE107,Traced,5223,1080,252,5,15,5,3738265959
551043841,CRE033_L,,CRE033,Traced,754,252,24,7,2,1,706368295
551751981,CRE005(ADM01)_L,,CRE005,Traced,1148,861,43,99,12,2,1064093786
577554935,SMP145(ADM10)_L,,SMP145,Traced,1810,1460,34,49,1,3,1640712084
580732172,SMP471(PDM13)_L,,SMP471,Traced,4250,865,207,144,5,2,2075693705
610312734,CRE023_R,,CRE023,Traced,3901,1023,156,15,18,3,2864705468
612414168,CRE029_a_L,,CRE029_a,Traced,1164,295,16,5,4,4,791330474
612755343,CRE023_L,,CRE023,Traced,2297,801,2,,34,1,2214780944
613040803,CRE049_R,,CRE049,Traced,2229,750,101,12,6,5,1511757943
613083375,CRE032_L,,CRE032,Traced,918,233,8,14,3,2,653637060
643847447,MBON32(y2)(ADM08)_L,,MBON32,Traced,9197,1062,819,839,2371,14,3202870430
644118254,CRE030_b_L,,CRE030_b,Traced,920,246,23,35,5,1,795100404
644148647,CRE031_R,,CRE031,Traced,756,196,19,13,91,6,583473753
668285416,SMP151(ADM10)_L,,SMP151,Traced,320,550,15,18,1,2,642080855
674807824,CRE029_a_L,,CRE029_a,Traced,1445,320,50,10,1,2,836699232
675187509,CRE033_R,,CRE033,Traced,698,177,2,5,8,2,611705625
675187643,CRE030_b_R,,CRE030_b,Traced,784,235,15,31,46,4,739581338
706862579,CRE059_R,,CRE059,Traced,1466,552,189,22,3,1,1186755402
706948318,MBON31(a'1a)(ADM10)_L,,MBON31,Traced,3298,932,210,242,33,2,1535739624
735470654,AVLP563_R,,AVLP563,Traced,3287,876,19,24,3,1,2355820571
735941254,SMP142(ADM08)_L,,SMP142,Traced,1841,1402,48,59,21,12,1598047565
760690116,CRE066_R,,CRE066,Traced,934,533,132,30,3,4,937265171
800303089,PPL108_R,,PPL108,Traced,5875,2272,646,491,,2,2618373937
829261936,PAM12(y3)_R,,PAM12,Traced,1336,229,7,,388,131,440919426
830034406,LAL154_R,,LAL154,Traced,2561,825,909,8,58,1,1562703817
863711565,PAM12(y3)_R,,PAM12,Traced,598,73,4,,305,72,271740734
893754136,(MBDLaxon2),,,Traced,2509,1179,200,227,21,1,3754329882
912951014,MBON26(B'2d)(PDM28)_L,,MBON26,Traced,6395,1588,450,699,288,1,2272675577
917919724,CRE066_R,,CRE066,Traced,605,431,174,2,6,2,706765280
925241334,LAL155_R,,LAL155,Traced,3211,604,1992,95,7,4,1395981955
955464899,PAM12(y3)_R,,PAM12,Traced,1174,183,73,1,256,95,382633721
983759126,PAM12(y3)_R,,PAM12,Traced,963,155,66,1,362,93,332844630
984536209,LAL100_R,,LAL100,Traced,3609,1173,1852,281,13,3,2063807718
984540390,CRE059(AVM13)_L,,CRE059,Traced,622,538,35,19,18,2,540136093
984794932,CRE068_R,,CRE068,Traced,513,268,264,24,3,3,494990396
984799284,CRE060_R,,CRE060,Traced,844,393,298,10,67,34,738647628
