id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,LAL(R) #post,LAL(R) #pre,#voxels
295116205,SA1_a_R,SlpA,SA1_a,Traced,644,107,9,2,1,1,267661950
298944444,FB6U_R,SMPCREFB6_2,FB6U,Traced,2676,537,1789,438,1,1,1019062305
329566174,OA-VPM3(NO2/NO3)_R,,OA-VPM3,Traced,10075,8632,3576,2111,59,47,6917059458
356670712,FR2(FQ4)_C4_L_small,,FR2,Traced,396,115,373,,1,4,306385656
387364605,EPG(PB08)_L3,EPG,EPG,Traced,4350,645,26,1,157,85,1469716322
419060083,PFGs(PB10)_L2_C2,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2395,556,2128,512,67,10,1107227318
449438847,EPG(PB08)_L3,EPG,EPG,Traced,4595,609,24,,160,80,1356917252
452401246,FB2G_b_R,SIPLALFB2,FB2G_b,Traced,1107,417,549,413,131,1,1079654628
478427368,PFNv(PB05)_L5_C4,PFNv,PFNv,Traced,985,297,81,110,8,4,549640572
481112669,PFL2(PB12b)_R1_C4,PB1-4FB1245LAL,PFL2,Traced,2852,418,2348,14,45,175,1542373100
481121605,PFL1(PB12a)_L2_C3,PFLC,PFL1,Traced,1916,329,1092,9,77,283,1365074914
513784136,FB1G_R,SMPSIPFB1d3,FB1G,Traced,4306,1843,1581,1726,404,1,2928723833
519046655,FB1H(NO2/3)_L,CRENO23FB1-4,FB1H,Traced,7950,3818,3971,2823,,1,3103732460
541127846,ExR5(ring)_L,,ExR5,Traced,2793,1056,498,466,70,47,1838016114
541870397,EPG(PB08)_L6,EPG,EPG,Traced,3916,498,20,2,144,75,1262283600
572870540,EPG(PB08)_L1,,EPG,Traced,4957,615,19,,180,93,1495976797
579268807,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,3282,1356,1101,873,512,54,1823088730
601557317,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,560,216,53,80,3,2,358469624
604242162,PFNv(PB05)_L2_C1,PFNv,PFNv,Traced,1137,327,122,131,10,1,602925629
607933758,FB5Q_R,SMPCREFB5d,FB5Q,Traced,2289,499,689,420,11,1,972638780
